sigungu,d,visitors
강릉시,2021-12-06,67781
강릉시,2021-12-07,60064
강릉시,2021-12-08,64466
강릉시,2021-12-09,65138
강릉시,2021-12-10,79870
강릉시,2021-12-11,120312
강릉시,2021-12-12,110985
강릉시,2021-12-13,69349
강릉시,2021-12-14,64516
강릉시,2021-12-15,63532
강릉시,2021-12-16,67956
강릉시,2021-12-17,85988
강릉시,2021-12-18,113810
강릉시,2021-12-19,99858
강릉시,2021-12-20,73770
강릉시,2021-12-21,72359
강릉시,2021-12-22,72555
강릉시,2021-12-23,77220
강릉시,2021-12-24,89198
강릉시,2021-12-25,113463
강릉시,2021-12-26,106211
강릉시,2021-12-27,82572
강릉시,2021-12-28,81914
강릉시,2021-12-29,85176
강릉시,2021-12-30,95431
강릉시,2021-12-31,134372
강릉시,2022-01-01,195580
강릉시,2022-01-02,111923
강릉시,2022-01-03,67417
강릉시,2022-01-04,65300
강릉시,2022-01-05,64491
강릉시,2022-01-06,66395
강릉시,2022-01-07,79086
강릉시,2022-01-08,119018
강릉시,2022-01-09,108248
강릉시,2022-01-10,76944
강릉시,2022-01-11,73717
강릉시,2022-01-12,72828
강릉시,2022-01-13,74760
강릉시,2022-01-14,88543
강릉시,2022-01-15,126693
강릉시,2022-01-16,113351
강릉시,2022-01-17,80658
강릉시,2022-01-18,75516
강릉시,2022-01-19,71694
강릉시,2022-01-20,66640
강릉시,2022-01-21,86496
강릉시,2022-01-22,123336
강릉시,2022-01-23,107723
강릉시,2022-01-24,76839
강릉시,2022-01-25,74039
강릉시,2022-01-26,71508
강릉시,2022-01-27,72334
강릉시,2022-01-28,84028
강릉시,2022-01-29,127841
강릉시,2022-01-30,170958
강릉시,2022-01-31,181366
강릉시,2022-02-01,142636
강릉시,2022-02-02,99544
강릉시,2022-02-03,76629
강릉시,2022-02-04,79516
강릉시,2022-02-05,96957
강릉시,2022-02-06,81708
강릉시,2022-02-07,61954
강릉시,2022-02-08,63189
강릉시,2022-02-09,65068
강릉시,2022-02-10,66801
강릉시,2022-02-11,79608
강릉시,2022-02-12,114856
강릉시,2022-02-13,96492
강릉시,2022-02-14,68740
강릉시,2022-02-15,66542
강릉시,2022-02-16,66952
강릉시,2022-02-17,70112
강릉시,2022-02-18,82754
강릉시,2022-02-19,118209
강릉시,2022-02-20,105676
강릉시,2022-02-21,77777
강릉시,2022-02-22,75366
강릉시,2022-02-23,72618
강릉시,2022-02-24,76622
강릉시,2022-02-25,84588
강릉시,2022-02-26,124166
강릉시,2022-02-27,128104
강릉시,2022-02-28,109792
강릉시,2022-03-01,92166
강릉시,2022-03-02,63287
강릉시,2022-03-03,63816
강릉시,2022-03-04,70308
강릉시,2022-03-05,90506
강릉시,2022-03-06,79247
강릉시,2022-03-07,61400
강릉시,2022-03-08,66182
강릉시,2022-03-09,68008
강릉시,2022-03-10,63721
강릉시,2022-03-11,71942
강릉시,2022-03-12,94108
강릉시,2022-03-13,77455
강릉시,2022-03-14,61610
강릉시,2022-03-15,64880
강릉시,2022-03-16,65667
강릉시,2022-03-17,62016
강릉시,2022-03-18,68831
강릉시,2022-03-19,85274
강릉시,2022-03-20,89614
강릉시,2022-03-21,68674
강릉시,2022-03-22,68058
강릉시,2022-03-23,66150
강릉시,2022-03-24,67550
강릉시,2022-03-25,78824
강릉시,2022-03-26,99113
강릉시,2022-03-27,102151
강릉시,2022-03-28,75254
강릉시,2022-03-29,73560
강릉시,2022-03-30,69506
강릉시,2022-03-31,68786
강릉시,2022-04-01,71897
강릉시,2022-04-02,123344
강릉시,2022-04-03,110565
강릉시,2022-04-04,69853
강릉시,2022-04-05,66776
강릉시,2022-04-06,67914
강릉시,2022-04-07,71396
강릉시,2022-04-08,92568
강릉시,2022-04-09,147682
강릉시,2022-04-10,132846
강릉시,2022-04-11,81515
강릉시,2022-04-12,79436
강릉시,2022-04-13,68414
강릉시,2022-04-14,73210
강릉시,2022-04-15,94560
강릉시,2022-04-16,143556
강릉시,2022-04-17,127754
강릉시,2022-04-18,86362
강릉시,2022-04-19,82124
강릉시,2022-04-20,89656
강릉시,2022-04-21,92074
강릉시,2022-04-22,109172
강릉시,2022-04-23,153878
강릉시,2022-04-24,137722
강릉시,2022-04-25,94104
강릉시,2022-04-26,89474
강릉시,2022-04-27,91259
강릉시,2022-04-28,93450
강릉시,2022-04-29,107471
강릉시,2022-04-30,156639
강릉시,2022-05-01,112609
강릉시,2022-05-02,64900
강릉시,2022-05-03,63574
강릉시,2022-05-04,81277
강릉시,2022-05-05,142548
강릉시,2022-05-06,156646
강릉시,2022-05-07,168074
강릉시,2022-05-08,123028
강릉시,2022-05-09,71382
강릉시,2022-05-10,68432
강릉시,2022-05-11,67098
강릉시,2022-05-12,70886
강릉시,2022-05-13,87658
강릉시,2022-05-14,138481
강릉시,2022-05-15,123784
강릉시,2022-05-16,76828
강릉시,2022-05-17,72636
강릉시,2022-05-18,71152
강릉시,2022-05-19,73444
강릉시,2022-05-20,93740
강릉시,2022-05-21,141032
강릉시,2022-05-22,123812
강릉시,2022-05-23,79166
강릉시,2022-05-24,74865
강릉시,2022-05-25,73325
강릉시,2022-05-26,75660
강릉시,2022-05-27,92992
강릉시,2022-05-28,142804
강릉시,2022-05-29,128950
강릉시,2022-05-30,85578
강릉시,2022-05-31,93737
강릉시,2022-06-01,99764
강릉시,2022-06-02,84231
강릉시,2022-06-03,113176
강릉시,2022-06-04,206160
강릉시,2022-06-05,219170
강릉시,2022-06-06,126220
강릉시,2022-06-07,68442
강릉시,2022-06-08,66952
강릉시,2022-06-09,68173
강릉시,2022-06-10,82978
강릉시,2022-06-11,127344
강릉시,2022-06-12,114835
강릉시,2022-06-13,74648
강릉시,2022-06-14,67336
강릉시,2022-06-15,65611
강릉시,2022-06-16,71880
강릉시,2022-06-17,93342
강릉시,2022-06-18,144000
강릉시,2022-06-19,125100
강릉시,2022-06-20,81792
강릉시,2022-06-21,78998
강릉시,2022-06-22,79264
강릉시,2022-06-23,76573
강릉시,2022-06-24,91658
강릉시,2022-06-25,137294
강릉시,2022-06-26,126238
강릉시,2022-06-27,82040
강릉시,2022-06-28,74634
강릉시,2022-06-29,69184
강릉시,2022-06-30,67725
강릉시,2022-07-01,84724
강릉시,2022-07-02,130662
강릉시,2022-07-03,119606
강릉시,2022-07-04,76136
강릉시,2022-07-05,74536
강릉시,2022-07-06,71984
강릉시,2022-07-07,72947
강릉시,2022-07-08,91336
강릉시,2022-07-09,141578
강릉시,2022-07-10,129934
강릉시,2022-07-11,80409
강릉시,2022-07-12,79100
강릉시,2022-07-13,74361
강릉시,2022-07-14,77931
강릉시,2022-07-15,97626
강릉시,2022-07-16,134074
강릉시,2022-07-17,124271
강릉시,2022-07-18,95361
강릉시,2022-07-19,92876
강릉시,2022-07-20,94566
